Season_Start,District,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2017,Southeastern,56888,25682,2812,4011,4588,4922,5253,5172,4448
2017,All,562145,179631,28962,43994,59106,62960,64530,61660,61302
2018,Atlantic,38611,12458,3017,3960,4313,4293,4255,3647,2668
2018,Central,66050,16388,3639,5565,7703,8531,9021,7629,7574
2018,Massachusetts,48729,5179,3072,5479,7012,7430,7235,6416,6906
2018,Michigan,48664,23216,2319,3048,3880,4043,3923,3713,4522
2018,Mid-American,41147,13126,2479,3480,4215,4518,4776,4660,3893
2018,Minnesota,57923,8817,2146,3809,7136,8395,8896,9122,9602
2018,New England,33639,5393,1769,3068,4565,4715,4596,4234,5299
2018,New York,50587,13454,2781,4440,5459,5550,5850,6096,6957
2018,Northern Plains,16721,3992,753,1125,1706,2040,2297,2293,2515
2018,Pacific,57089,29917,2032,3018,3711,4495,4915,4761,4240
2018,Rocky Mountain,51064,24003,2487,3508,4045,4585,4711,4301,3424
2018,Southeastern,57684,25822,2889,4006,4742,5035,5625,5307,4258
2018,All,567908,181765,29383,44506,58487,63630,66100,62179,61858
2019,Atlantic,36853,11821,2815,3916,4289,4159,4120,3407,2326
2019,Central,66945,17492,3811,5613,7623,8554,8960,7375,7517
2019,Massachusetts,48064,5181,3245,5497,6873,7117,7006,6289,6856
2019,Michigan,46857,22302,2282,2994,3633,3965,3892,3573,4216
2019,Mid-American,39755,12641,2425,3497,4185,4511,4735,4356,3405
2019,Minnesota,57648,8766,2175,3808,7186,8337,8790,8937,9649
2019,New England,33629,5159,1910,3216,4432,4589,4515,4360,5448
2019,New York,47428,10884,2487,4455,5084,5556,5953,6037,6972
2019,Northern Plains,17009,3925,756,1130,1802,2181,2299,2338,2578
2019,Pacific,58669,30409,2114,3099,3950,4726,5105,5031,4235
2019,Rocky Mountain,49480,22873,2374,3592,4116,4541,4616,4149,3219
2019,Southeastern,59363,26595,2915,4216,4936,5299,5815,5357,4230
2019,All,561700,178048,29309,45033,58109,63535,65806,61209,60651
2020,Atlantic,30113,7912,2615,3701,3973,3957,3602,2769,1584
2020,Central,57224,11141,3799,5902,7473,8217,7946,6583,6163
2020,Massachusetts,41794,3543,3191,5363,6733,6755,6337,5194,4678
2020,Michigan,31212,10067,1722,2558,3517,3643,3559,3083,3063
2020,Mid-American,34777,9605,2397,3423,4112,4387,4443,3643,2767
2020,Minnesota,55284,6501,2672,4683,7423,8342,8622,8321,8720
2020,New England,27224,2723,1844,3270,4197,4212,4009,3530,3439
2020,New York,37865,5600,2658,4364,4930,4991,5257,4976,5089
2020,Northern Plains,16271,3274,759,1241,1887,2123,2310,2232,2445
2020,Pacific,31283,11628,1750,2736,3389,3543,3400,2753,2084
2020,Rocky Mountain,41959,17400,2453,3598,4276,4272,4107,3361,2492
2020,Southeastern,48820,21201,2642,4104,4661,4948,4863,3844,2557
2020,All,453826,110595,28502,44943,56571,59390,58455,50289,45081
2021,Atlantic,35339,11469,2749,3831,4037,4036,3752,3322,2143
2021,Central,65535,16065,4019,5747,7791,8496,8416,7261,7740
2021,Massachusetts,46966,4749,3568,5490,6656,6737,6610,6290,6866
2021,Michigan,37381,13431,2119,2675,3597,3813,3857,3680,4209
2021,Mid-American,39604,11988,2651,3487,4268,4661,4858,4160,3531
2021,Minnesota,58666,8343,2300,4100,7433,8454,8934,9208,9894
2021,New England,32084,4447,2040,3242,4186,4308,4406,4306,5149
2021,New York,46410,9905,2889,4279,5171,5362,5923,6044,6837
2021,Northern Plains,18142,4043,820,1380,2060,2269,2457,2430,2683
2021,Pacific,55739,28807,2170,3220,4042,4587,5061,4388,3464
2021,Rocky Mountain,51373,22590,2668,3857,4499,4785,5100,4360,3514
2021,Southeastern,60190,27747,2957,4451,5065,5385,5966,5022,3597
2021,All,547429,163584,30950,45759,58805,62893,65340,60471,59627
2022,Atlantic,35663,11412,2792,3805,4089,3953,3825,3544,2243
2022,Central,65786,15867,4020,5942,7995,8249,8428,7623,7662
2022,Massachusetts,45946,4874,3437,5483,6428,6541,6432,6232,6519
2022,Michigan,37024,13299,1824,2662,3495,3780,3856,3918,4190
2022,Mid-American,40724,12173,2640,3655,4430,4800,4881,4438,3707
2022,Minnesota,58929,9045,2376,4209,7604,8514,8730,9241,9210
2022,New England,32076,4214,2185,3260,4148,4239,4463,4472,5095
2022,New York,46097,9735,2671,4180,4881,5416,6100,6412,6702
2022,Northern Plains,18297,4116,966,1467,2027,2334,2404,2478,2505
2022,Pacific,59043,30642,2223,3435,4178,4859,5125,4793,3788
2022,Rocky Mountain,54389,24243,2689,4158,4627,5009,5226,4831,3606
2022,Southeastern,62212,28656,3072,4580,5239,5796,5945,5331,3593
2022,All,556186,168276,30895,46836,59141,63490,65415,63313,58820
