Season_Start,District,State,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2012,Southeastern,DC,1000,559,33,35,49,90,89,94,51
2012,Southeastern,FL,11924,6705,694,786,850,906,799,612,572
2012,Southeastern,GA,2120,454,207,261,297,319,268,183,131
2012,Southeastern,LA,407,245,17,29,14,26,27,24,25
2012,Southeastern,MD,9159,3590,625,845,953,992,976,723,455
2012,Southeastern,MS,250,103,23,22,19,20,17,22,24
2012,Southeastern,NC,6209,3078,287,426,552,617,562,407,280
2012,Southeastern,SC,1453,710,84,130,116,112,107,106,88
2012,Southeastern,TN,2918,1038,213,275,311,308,285,276,212
2012,Southeastern,VA,9145,4143,472,750,810,920,832,718,500
2012,All,USA,510279,160618,28961,41208,55096,60987,60453,53521,49435
2013,Atlantic,DE,915,314,103,109,118,104,82,53,32
2013,Atlantic,E PA,17667,6720,1532,1888,1944,1906,1636,1240,801
2013,Atlantic,NJ,18438,5170,1404,1970,2473,2503,2275,1720,923
2013,Central,IL,29977,8350,1770,2534,3196,3913,3918,3359,2937
2013,Central,IA,3378,978,213,237,332,363,404,406,445
2013,Central,KS,1648,760,92,107,144,155,166,121,103
2013,Central,MO,7162,1688,511,676,758,826,811,854,1038
2013,Central,NE,1693,212,109,167,198,216,263,244,284
2013,Central,WI,17762,3711,720,959,2128,2419,2493,2432,2900
2013,Massachusetts,MA,48074,4948,2548,4615,6856,7737,8045,6598,6727
2013,Michigan,MI,50585,22878,2700,3552,4657,4761,4713,3528,3796
2013,Mid-American,IN,5922,2185,396,448,575,615,625,517,561
2013,Mid-American,KY,1625,726,105,101,135,114,167,128,149
2013,Mid-American,OH,14387,5173,842,1146,1538,1719,1650,1313,1006
2013,Mid-American,W PA,12862,2043,1038,1391,1627,1680,1773,1745,1565
2013,Mid-American,WV,1147,375,63,66,81,115,109,143,195
2013,Minnesota,MN,54507,8995,1938,3470,7137,8169,8367,8071,8360
2013,New England,CT,13275,1994,800,1200,1709,1940,2064,1759,1809
2013,New England,ME,6526,1654,301,452,883,859,843,734,800
2013,New England,NH,6211,926,400,606,876,901,912,814,776
2013,New England,RI,4621,648,277,390,569,642,630,640,825
2013,New England,VT,4756,1241,159,254,535,598,626,592,751
2013,New York,NY,48354,14034,2663,4196,5587,5867,5847,4866,5294
2013,Northern Plains,MT,4253,2311,181,202,249,247,324,341,398
2013,Northern Plains,ND,5587,328,246,417,720,880,964,1000,1032
2013,Northern Plains,SD,2788,467,172,260,329,368,372,385,435
2013,Northern Plains,WY,1925,537,133,170,178,214,228,241,224
2013,Pacific,AK,8469,4145,336,449,545,660,689,680,965
2013,Pacific,CA,25288,15319,1068,1533,1766,1733,1650,1321,898
2013,Pacific,HI,19,15,1,2,0,0,1,0,0
2013,Pacific,NV,1244,758,36,50,82,92,80,94,52
2013,Pacific,OR,2148,1361,72,101,114,144,142,110,104
2013,Pacific,WA,8369,4662,335,417,511,604,619,534,687
2013,Rocky Mountain,AZ,4860,2332,331,415,420,436,413,286,227
2013,Rocky Mountain,CO,13570,4714,964,1309,1405,1513,1481,1268,916
2013,Rocky Mountain,ID,3396,1748,141,243,239,242,288,270,225
2013,Rocky Mountain,NM,1298,603,55,85,111,129,123,105,87
2013,Rocky Mountain,OK,738,420,30,46,74,66,57,27,18
2013,Rocky Mountain,TX,12909,7461,665,825,862,908,945,624,619
2013,Rocky Mountain,UT,4421,2533,242,373,314,332,280,193,154
2013,Southeastern,AL,1236,508,48,83,96,118,141,111,131
2013,Southeastern,AR,359,184,14,14,32,36,26,25,28
2013,Southeastern,DC,1113,641,35,40,55,100,101,96,45
2013,Southeastern,FL,11982,7130,659,754,833,810,772,568,456
2013,Southeastern,GA,2095,488,182,252,297,314,283,165,114
2013,Southeastern,LA,425,261,17,11,17,29,29,27,34
2013,Southeastern,MD,9122,3633,615,850,1026,997,923,666,412
2013,Southeastern,MS,223,98,14,21,13,21,21,19,16
2013,Southeastern,NC,6180,3045,291,439,583,580,575,401,266
2013,Southeastern,SC,1619,822,103,103,127,119,129,110,106
2013,Southeastern,TN,2938,1088,221,287,311,291,277,253,210
2013,Southeastern,VA,9351,4192,493,737,868,951,882,754,474
2013,All,USA,519417,167527,28384,41022,56233,61056,61234,52551,51410
2014,Atlantic,DE,962,329,113,113,119,110,81,64,33
2014,Atlantic,E PA,17133,6737,1522,1839,1950,1813,1561,1102,609
2014,Atlantic,NJ,18753,5154,1375,2129,2575,2549,2274,1762,935
2014,Central,IL,30553,8820,1808,2660,3400,4231,4190,2945,2499
2014,Central,IA,3638,1099,203,265,335,404,440,421,471
2014,Central,KS,1636,802,83,117,119,159,150,109,97
2014,Central,MO,7082,1577,505,706,754,846,873,862,959
2014,Central,NE,1839,326,124,157,225,235,275,253,244
2014,Central,WI,17917,3843,680,901,2074,2384,2557,2440,3038
2014,Massachusetts,MA,49591,5006,2815,4858,6996,8165,7957,6874,6920
2014,Michigan,MI,50602,23482,2642,3421,4551,4756,4425,3546,3779
2014,Mid-American,IN,6185,2319,380,471,577,645,678,541,574
2014,Mid-American,KY,1623,760,89,120,116,146,141,122,129
2014,Mid-American,OH,14735,5183,846,1208,1614,1776,1678,1415,1015
2014,Mid-American,W PA,12945,2168,946,1467,1667,1712,1714,1750,1521
2014,Mid-American,WV,1159,341,69,60,89,116,132,144,208
2014,Minnesota,MN,55450,9578,1936,3622,7063,8217,8223,8138,8673
2014,New England,CT,13414,2063,830,1212,1760,1988,2011,1803,1747
2014,New England,ME,6440,1428,304,559,825,853,827,755,889
2014,New England,NH,6252,968,386,595,876,934,953,787,753
2014,New England,RI,4532,733,211,409,548,644,640,592,755
2014,New England,VT,4538,1035,151,259,528,595,657,599,714
2014,New York,NY,48580,13815,2594,4505,5518,5917,5833,5002,5396
2014,Northern Plains,MT,4469,2501,183,196,238,271,357,361,362
2014,Northern Plains,ND,5832,346,278,423,754,927,1040,983,1081
2014,Northern Plains,SD,2868,449,191,269,358,357,398,423,423
2014,Northern Plains,WY,2080,558,139,165,205,245,247,269,252
2014,Pacific,AK,8788,4220,333,460,578,671,715,716,1095
2014,Pacific,CA,26383,15400,1107,1594,1864,1929,1829,1625,1035
2014,Pacific,HI,15,11,1,0,1,1,0,1,0
2014,Pacific,NV,1358,806,30,60,100,109,100,95,58
2014,Pacific,OR,2566,1663,81,96,137,178,180,118,113
2014,Pacific,WA,8594,4695,344,424,568,618,646,653,646
2014,Rocky Mountain,AZ,7329,3714,390,461,563,540,560,505,596
2014,Rocky Mountain,CO,13652,4692,960,1244,1507,1569,1428,1354,898
2014,Rocky Mountain,ID,3459,1773,171,235,219,265,294,251,251
2014,Rocky Mountain,NM,1418,663,61,100,113,119,143,112,107
2014,Rocky Mountain,OK,1143,619,36,68,82,96,108,71,63
2014,Rocky Mountain,TX,13500,7957,631,787,899,950,952,710,614
2014,Rocky Mountain,UT,4138,2165,302,356,341,360,262,199,153
2014,Southeastern,AL,1497,641,55,85,94,154,159,137,172
2014,Southeastern,AR,404,219,11,19,32,28,34,31,30
2014,Southeastern,DC,1117,640,29,36,82,102,103,82,43
2014,Southeastern,FL,12505,7572,622,801,862,821,827,596,404
2014,Southeastern,GA,2043,443,171,244,331,300,265,164,125
2014,Southeastern,LA,394,250,18,10,11,24,29,24,28
2014,Southeastern,MD,9607,3946,602,911,1031,1069,924,659,465
2014,Southeastern,MS,174,73,16,12,13,10,18,19,13
2014,Southeastern,NC,6677,3404,302,459,574,648,568,436,286
2014,Southeastern,SC,2091,1217,95,98,133,147,150,138,113
2014,Southeastern,TN,3449,1552,207,319,313,278,299,257,224
2014,Southeastern,VA,10063,4673,524,748,903,947,966,764,538
2014,All,USA,533172,174428,28502,42333,57185,62928,61871,53779,52146
2015,Atlantic,DE,949,330,81,120,118,113,85,67,35
2015,Atlantic,E PA,16930,6522,1553,1834,1897,1881,1573,1102,568
2015,Atlantic,NJ,18978,5568,1374,2168,2545,2578,2157,1669,919
2015,Central,IL,31558,9051,1851,2782,3739,4286,4277,3160,2412
2015,Central,IA,3603,1050,201,263,341,404,446,422,476
2015,Central,KS,1546,769,74,115,129,156,150,95,58
2015,Central,MO,7284,1573,511,682,824,883,929,922,960
2015,Central,NE,1931,404,116,173,215,266,272,250,235
2015,Central,WI,18529,4031,638,967,2080,2433,2588,2613,3179
2015,Massachusetts,MA,49087,5052,2916,5050,7208,8150,7663,6664,6384
2015,Michigan,MI,50022,23252,2503,3400,4399,4692,4142,3783,3851
2015,Mid-American,IN,6371,2400,373,489,590,701,621,569,628
2015,Mid-American,KY,1611,764,80,125,107,148,134,134,119
2015,Mid-American,OH,14954,5342,892,1160,1606,1745,1675,1446,1088
2015,Mid-American,W PA,13869,3016,1043,1527,1655,1804,1689,1620,1515
2015,Mid-American,WV,1134,349,54,63,102,97,157,142,170
2015,Minnesota,MN,57107,9740,2092,3677,7213,8245,8529,8399,9212
2015,New England,CT,13175,1900,800,1254,1765,2073,2000,1753,1630
2015,New England,ME,6688,1660,311,570,756,890,814,698,989
2015,New England,NH,6000,802,369,627,859,931,912,782,718
2015,New England,RI,4535,673,368,405,559,613,613,562,742
2015,New England,VT,4618,1070,158,231,537,618,631,568,805
2015,New York,NY,49921,14386,2693,4579,5564,6044,5716,5163,5776
2015,Northern Plains,MT,4583,2526,155,227,220,305,369,384,397
2015,Northern Plains,ND,6461,376,267,427,817,912,1087,1221,1354
2015,Northern Plains,SD,2933,424,187,294,349,373,410,440,456
2015,Northern Plains,WY,2055,522,135,159,200,229,257,251,302
2015,Pacific,AK,8755,4083,320,422,577,707,738,762,1146
2015,Pacific,CA,28296,16616,1171,1700,1854,2008,2070,1752,1125
2015,Pacific,HI,22,18,0,0,0,2,1,1,0
2015,Pacific,NV,1305,795,39,64,90,86,112,87,32
2015,Pacific,OR,2647,1698,87,114,161,197,170,113,107
2015,Pacific,WA,9015,4828,356,460,575,648,703,741,704
2015,Rocky Mountain,AZ,7510,3707,394,500,573,605,610,501,620
