Season_Start,District,All_Ages,19&over,17-18,15-16,13-14,12-Nov,10-Sep,8-Jul,6&U
2018,Michigan,5267,1911,272,330,432,475,521,560,766
2018,Mid-American,3586,806,170,251,356,450,553,547,453
2018,Minnesota,14223,1947,405,753,1587,2236,2394,2424,2477
2018,New England,6837,852,283,560,906,988,988,955,1305
2018,New York,6413,1215,300,556,653,733,866,868,1222
2018,Northern Plains,3497,747,187,289,345,428,470,472,559
2018,Pacific,7182,3021,236,388,527,656,792,776,786
2018,Rocky Mountain,6176,2596,225,403,487,616,690,640,519
2018,Southeastern,5470,1716,244,425,501,583,724,683,594
2018,All,82808,19118,3599,6107,8659,10384,11472,11230,12239
2019,Atlantic,3890,904,237,414,515,480,542,484,314
2019,Central,9365,1927,404,695,937,1199,1369,1308,1526
2019,Massachusetts,11154,1568,667,1147,1411,1528,1656,1470,1707
2019,Michigan,5403,1898,276,364,461,480,601,595,728
2019,Mid-American,3551,780,171,270,408,463,555,490,414
2019,Minnesota,14392,1952,435,785,1552,2269,2428,2361,2610
2019,New England,6913,815,282,603,853,1018,987,995,1360
2019,New York,6348,1025,310,541,636,766,904,888,1278
2019,Northern Plains,3591,733,183,272,364,479,470,463,627
2019,Pacific,7373,3020,235,433,559,739,803,807,777
2019,Rocky Mountain,6307,2591,262,395,561,624,701,665,508
2019,Southeastern,5815,1817,287,428,536,678,780,701,588
2019,All,84102,19030,3749,6347,8793,10723,11796,11227,12437
2020,Atlantic,3112,406,30,237,408,463,467,474,402
2020,Central,7947,796,50,433,692,998,1211,1331,1224
2020,Massachusetts,9624,863,48,653,1167,1416,1542,1468,1240
2020,Michigan,4127,1072,59,230,333,397,484,551,459
2020,Mid-American,3110,479,32,151,271,399,457,513,410
2020,Minnesota,14238,1258,22,561,1160,1810,2253,2401,2384
2020,New England,5636,304,24,361,637,838,934,908,778
2020,New York,5316,429,58,351,523,632,736,777,815
2020,Northern Plains,3479,498,51,176,274,407,446,519,510
2020,Pacific,4266,1145,27,216,368,517,559,554,453
2020,Rocky Mountain,5010,1450,46,284,429,581,584,622,531
2020,Southeastern,4533,1224,50,265,420,552,607,598,461
2020,All,70398,9924,497,3918,6682,9010,10280,10716,9667
2021,Atlantic,4085,921,289,506,490,528,547,470,334
2021,Central,10062,1821,469,697,1150,1355,1513,1403,1654
2021,Massachusetts,11452,1352,746,1153,1469,1681,1626,1563,1862
2021,Michigan,5269,1553,315,372,456,583,637,598,755
2021,Mid-American,3828,753,211,299,426,563,569,548,459
2021,Minnesota,15377,1890,441,875,1798,2375,2544,2738,2716
2021,New England,6820,705,368,566,904,943,1020,984,1330
2021,New York,6590,928,336,507,699,794,963,1026,1337
2021,Northern Plains,3932,730,195,292,468,506,529,579,633
2021,Pacific,7492,2925,271,487,684,737,873,798,717
2021,Rocky Mountain,7015,2571,266,521,630,724,868,772,663
2021,Southeastern,6049,1879,310,508,669,695,792,684,512
2021,All,87971,18028,4217,6783,9843,11484,12481,12163,12972
2022,Atlantic,4278,950,348,504,511,548,576,516,325
2022,Central,10387,1919,461,767,1203,1404,1554,1476,1603
2022,Massachusetts,11444,1388,710,1117,1489,1607,1667,1648,1818
2022,Michigan,5359,1562,334,382,493,610,618,656,704
2022,Mid-American,4238,847,219,309,498,577,660,639,489
2022,Minnesota,15355,2023,399,876,1819,2448,2594,2597,2599
2022,New England,6941,760,375,608,929,963,1000,1052,1254
2022,New York,6938,1091,336,534,712,801,1020,1146,1298
2022,Northern Plains,3961,736,198,330,448,537,563,570,579
2022,Pacific,8233,3337,296,531,689,842,913,870,755
2022,Rocky Mountain,7610,2819,319,558,666,826,851,877,694
2022,Southeastern,6510,2096,345,582,689,764,800,746,488
2022,All,91254,19528,4340,7098,10146,11927,12816,12793,12606
